StairIndex,Grid_i,Grid_j,X_center,Y_center,CumulativePressure,CumulativeSlip
1,9,17,-1.24,0.105,964.4434108825723,1.544666311186237e-05
1,9,18,-1.24,0.111,964.4434108825723,1.544666311186237e-05
1,9,19,-1.24,0.117,964.4434108825723,1.544666311186237e-05
1,9,20,-1.24,0.123,964.4434108825723,1.544666311186237e-05
1,9,21,-1.24,0.129,964.4434108825723,1.544666311186237e-05
1,9,22,-1.24,0.135,1401.1935874420049,2.7141831929781506e-05
1,9,23,-1.24,0.14100000000000001,1401.1935874420049,2.7141831929781506e-05
1,9,24,-1.24,0.147,1401.1935874420049,2.7141831929781506e-05
1,9,25,-1.24,0.153,1401.1935874420049,2.7141831929781506e-05
1,9,26,-1.24,0.159,1401.1935874420049,2.7141831929781506e-05
1,9,27,-1.24,0.165,1401.1935874420049,2.7141831929781506e-05
1,9,28,-1.24,0.171,1401.1935874420049,2.7141831929781506e-05
1,9,29,-1.24,0.177,1401.1935874420049,2.7141831929781506e-05
1,9,30,-1.24,0.183,0.0,0.0
1,9,31,-1.24,0.189,0.0,0.0
1,9,32,-1.24,0.195,0.0,0.0
1,9,33,-1.24,0.201,0.0,0.0
1,9,34,-1.24,0.20700000000000002,0.0,0.0
1,9,35,-1.24,0.213,0.0,0.0
1,9,36,-1.24,0.219,0.0,0.0
